user_id,group
1001,blue
1002,red
1003,blue
1004,red
1005,blue
1006,blue
1007,red
1008,red
1009,red
1010,red
1011,blue
1012,blue
1013,blue
1014,blue
1015,blue
1016,blue
1017,blue
1018,blue
1019,blue
1020,blue
1021,blue
1022,blue
1023,red
1024,blue
1025,blue
1026,blue
1027,red
1028,blue
1029,blue
1030,blue
1031,blue
1032,red
1033,blue
1034,red
1035,blue
1036,blue
1037,blue
1038,blue
1039,red
1040,red
1041,red
1042,red
1043,blue
1044,red
1045,blue
1046,blue
1047,blue
1048,blue
1049,red
1050,blue
1051,red
1052,blue
1053,blue
1054,blue
1055,blue
1056,blue
1057,blue
1058,blue
1059,blue
1060,blue
1061,blue
1062,blue
1063,blue
1064,blue
1065,blue
1066,red
1067,blue
1068,blue
1069,red
1070,blue
1071,red
1072,red
1073,blue
1074,blue
1075,blue
1076,blue
1077,red
1078,red
1079,red
1080,blue
1081,blue
1082,blue
1083,red
1084,blue
1085,blue
1086,blue
1087,blue
1088,red
1089,blue
1090,red
1091,blue
1092,blue
1093,blue
1094,blue
1095,blue
1096,red
1097,blue
1098,blue
1099,red
1100,blue
1101,blue
1102,blue
1103,red
1104,red
1105,blue
1106,red
1107,blue
1108,blue
1109,blue
1110,red
1111,blue
1112,blue
1113,blue
1114,blue
1115,red
1116,red
1117,red
1118,red
1119,blue
1120,blue
1121,red
1122,red
1123,blue
1124,blue
1125,blue
1126,blue
1127,blue
1128,blue
1129,blue
1130,blue
1131,red
1132,blue
1133,blue
1134,blue
1135,red
1136,blue
1137,red
1138,blue
1139,blue
1140,blue
1141,blue
1142,blue
1143,red
1144,blue
1145,blue
1146,red
1147,blue
1148,red
1149,red
1150,blue
1151,blue
1152,blue
1153,red
1154,blue
1155,red
1156,red
1157,red
1158,blue
1159,blue
1160,red
1161,blue
1162,red
1163,red
1164,blue
1165,blue
1166,blue
1167,red
1168,red
1169,blue
1170,blue
1171,blue
1172,red
1173,blue
1174,blue
1175,red
1176,blue
1177,red
1178,red
1179,blue
1180,blue
1181,blue
1182,blue
1183,blue
1184,blue
1185,red
1186,blue
1187,blue
1188,blue
1189,blue
1190,blue
1191,blue
1192,red
1193,blue
1194,red
1195,red
1196,blue
1197,red
1198,blue
1199,red
1200,red
1201,blue
1202,blue
1203,blue
1204,red
1205,blue
1206,red
1207,blue
1208,red
1209,red
1210,blue
1211,blue
1212,blue
1213,blue
1214,blue
1215,red
1216,blue
1217,blue
1218,blue
1219,red
1220,blue
1221,blue
1222,red
1223,blue
1224,blue
1225,blue
1226,blue
1227,red
1228,blue
1229,blue
1230,red
1231,blue
1232,red
1233,blue
1234,blue
1235,red
1236,blue
1237,blue
1238,red
1239,blue
1240,blue
1241,blue
1242,blue
1243,blue
1244,red
1245,blue
1246,blue
1247,blue
1248,blue
1249,blue
1250,blue
1251,red
1252,blue
1253,red
1254,blue
1255,blue
1256,blue
1257,blue
1258,red
1259,blue
1260,blue
1261,blue
1262,red
1263,red
1264,red
1265,blue
1266,blue
1267,red
1268,red
1269,blue
1270,blue
1271,blue
1272,red
1273,blue
1274,blue
1275,red
1276,blue
1277,blue
1278,blue
1279,blue
1280,red
1281,blue
1282,red
1283,blue
1284,blue
1285,blue
1286,blue
1287,blue
1288,blue
1289,blue
1290,blue
1291,blue
1292,blue
1293,red
1294,red
1295,blue
1296,red
1297,red
1298,red
1299,blue
1300,blue
1301,blue
1302,blue
1303,blue
1304,red
1305,blue
1306,blue
1307,blue
1308,blue
1309,red
1310,blue
1311,red
1312,red
1313,blue
1314,blue
1315,red
1316,blue
1317,red
1318,blue
1319,red
1320,blue
1321,blue
1322,blue
1323,blue
1324,red
1325,blue
1326,blue
1327,blue
1328,blue
1329,blue
1330,blue
1331,red
1332,blue
1333,blue
1334,blue
1335,blue
1336,blue
1337,red
1338,red
1339,blue
1340,blue
1341,red
1342,blue
1343,red
1344,blue
1345,blue
1346,blue
1347,blue
1348,blue
1349,blue
1350,blue
1351,red
1352,blue
1353,red
1354,blue
1355,blue
1356,blue
1357,blue
1358,red
1359,red
1360,red
1361,blue
1362,red
1363,blue
1364,blue
1365,red
1366,blue
1367,blue
1368,blue
1369,blue
1370,blue
1371,blue
1372,blue
1373,red
1374,blue
1375,blue
1376,blue
1377,red
1378,blue
1379,blue
1380,blue
1381,blue
1382,blue
1383,blue
1384,blue
1385,red
1386,red
1387,red
1388,red
1389,blue
1390,blue
1391,blue
1392,red
1393,red
1394,blue
1395,blue
1396,blue
1397,red
1398,blue
1399,blue
1400,blue
1401,blue
1402,blue
1403,blue
1404,blue
1405,blue
1406,blue
1407,blue
1408,blue
1409,blue
1410,blue
1411,blue
1412,red
1413,blue
1414,blue
1415,blue
1416,blue
1417,blue
1418,red
1419,blue
1420,blue
1421,blue
1422,blue
1423,blue
1424,blue
1425,blue
1426,red
1427,red
1428,blue
1429,blue
1430,blue
1431,blue
1432,red
1433,blue
1434,blue
1435,red
1436,blue
1437,red
1438,blue
1439,blue
1440,blue
1441,blue
1442,blue
1443,red
1444,blue
1445,blue
1446,red
1447,blue
1448,blue
1449,blue
1450,red
1451,red
1452,blue
1453,red
1454,blue
1455,blue
1456,blue
1457,red
1458,blue
1459,blue
1460,blue
1461,blue
1462,blue
1463,blue
1464,blue
1465,blue
1466,blue
1467,blue
1468,red
1469,blue
1470,red
1471,red
1472,blue
1473,blue
1474,blue
1475,red
1476,blue
1477,blue
1478,red
1479,blue
1480,blue
1481,blue
1482,blue
1483,red
1484,blue
1485,blue
1486,blue
1487,red
1488,blue
1489,blue
1490,red
1491,blue
1492,red
1493,blue
1494,blue
1495,blue
1496,blue
1497,blue
1498,red
1499,blue
1500,red
1501,blue
1502,blue
1503,red
1504,red
1505,blue
1506,blue
1507,blue
1508,blue
1509,blue
1510,red
1511,red
1512,red
1513,red
1514,red
1515,blue
1516,red
1517,blue
1518,blue
1519,blue
1520,red
1521,blue
1522,blue
1523,blue
1524,red
1525,blue
1526,blue
1527,red
1528,blue
1529,red
1530,blue
1531,red
1532,red
1533,blue
1534,red
1535,blue
1536,red
1537,red
1538,blue
1539,blue
1540,blue
1541,red
1542,blue
1543,blue
1544,blue
1545,red
1546,blue
1547,blue
1548,red
1549,blue
1550,blue
1551,blue
1552,blue
1553,blue
1554,red
1555,blue
1556,red
1557,blue
1558,blue
1559,blue
1560,blue
1561,blue
1562,blue
1563,blue
1564,blue
1565,blue
1566,blue
1567,blue
1568,blue
1569,blue
1570,blue
1571,red
1572,blue
1573,blue
1574,blue
1575,blue
1576,red
1577,blue
1578,red
1579,red
1580,blue
1581,blue
1582,blue
1583,blue
1584,blue
1585,red
1586,blue
1587,blue
1588,blue
1589,blue
1590,blue
1591,blue
1592,blue
1593,red
1594,blue
1595,red
1596,red
1597,red
1598,blue
1599,blue
1600,blue
1601,blue
1602,blue
1603,blue
1604,blue
1605,red
1606,red
1607,blue
1608,blue
1609,red
1610,blue
1611,red
1612,blue
1613,blue
1614,blue
1615,red
1616,blue
1617,blue
1618,red
1619,blue
1620,blue
