user_id,purchase_id
1001,962713048207
1001,390829204074
1002,767686269546
1002,293848522655
1002,704926471718
1002,810294151236
1002,290049194154
1002,547734623502
1002,992896385242
1003,916437707121
1003,720782578822
1003,514175975048
1003,442707952737
1003,165179073431
1004,845624509424
1004,902226835594
1004,836983280013
1004,348128535181
1004,291732173098
1004,474867002420
1004,649780862183
1004,276697322798
1004,298187838389
1004,361867965733
1005,956798914367
1006,610075974148
1006,143067601164
1006,178864804028
1006,486598309778
1006,384992817928
1008,252275323954
1008,940097395443
1008,944126240486
1008,736470334339
1008,685200401744
1009,470712691781
1009,235690526555
1009,850686803165
1010,764219467032
1011,224632325235
1011,352880895224
1011,822488670286
1011,812411221147
1011,682611294949
1012,217489100590
1012,513718305956
1012,880192280673
1013,822032057377
1013,701837262368
1013,250068906718
1014,696815916597
1014,203810999078
1014,109119025780
1014,246487012204
1014,111824598124
1015,457505559938
1015,941205881866
1015,504623545142
1015,795962995706
1015,174053279564
1016,388084815584
1016,640392235796
1016,215164728876
1016,622774917035
1016,334612723951
1016,866142286146
1017,585378466141
1017,232562123529
1017,142244972192
1017,451995761839
1017,113345661254
1018,843866076301
1018,796644551797
1018,647348750404
1018,750375372378
1018,956623713801
1018,551184009721
1019,602460688090
1019,988722764953
1019,871358655522
1020,194637974073
1020,393582908603
1020,597500704761
1020,722544943778
1021,543221020581
1021,984337303544
1021,928139279149
1021,912050935552
1021,476965558162
1021,491994642799
1022,112288349605
1022,327232016618
1022,100104836952
1022,508441672939
1022,174838831557
1022,972005326791
1022,436055564044
1023,731186284135
1023,203557415237
1023,370902611699
1025,826567630162
1025,391601199518
1026,336797184099
1026,592492119331
1026,110341667862
1026,443850095417
1026,261445207102
1028,694608353804
1028,954254746845
1028,379306220964
1028,607653270823
1029,168427722871
1029,473487926449
1029,907166948795
1029,715366603003
1029,909115112954
1030,775048849191
1030,607632751000
1031,469949885316
1031,915529330546
1031,100856582805
1031,850760230871
1031,195659968958
1031,958525325669
1031,334371995431
1032,152687421553
1032,177719817656
1032,908003474165
1032,452038655521
1032,828027169260
1032,889072726709
1032,479289730015
1033,574296164811
1033,880237858286
1033,699673445289
1033,366508362473
1034,254857996992
1036,820826186130
1037,946543462927
1037,849852790112
1037,549492784210
1037,567547257686
1038,547092752088
1038,825715032525
1038,280206600723
1038,609906295949
1039,993540246531
1039,745433456286
1039,227349292945
1039,721220677014
1039,787625252495
1039,266991028813
1039,258027238606
1040,235009523443
1040,192200822492
1040,105755624412
1041,468265522425
1042,666946701820
1042,218592825873
1042,295955516064
1043,239750723390
1043,311866650880
1043,329323454856
1043,130005017512
1043,439204207819
1043,619445491268
1043,597092899618
1044,412043720684
1044,863227205395
1045,905857702104
1046,388805453502
1046,549132120951
1046,729081690488
1046,145048948248
1046,422041638174
1046,757371889470
1047,744668881751
1047,927763092407
1047,808205237593
1047,869172991081
1047,437836095402
1047,358616232253
1048,758589300790
1048,197498068700
1048,278908729179
1048,257500179090
1048,657144209866
1049,427620068923
1049,179419816718
1049,859057349326
1049,937307369102
1049,940834332606
1049,709568088551
1049,555987323831
1050,891778134620
1050,919689706559
1050,118263653875
1050,446827551109
1050,580574779075
1051,376325013155
1051,905308005288
1051,611287484938
1051,289176758978
1052,203212265260
1052,632183927866
1052,660416628957
1052,684377996432
1053,989560175233
1053,431772422262
1053,583842168607
1053,989855454090
1053,888610512883
1053,576486535684
1053,251202245881
1054,430970895037
1054,508476267988
1054,436465436095
1054,848412367227
1055,674905261106
1055,250557199811
1055,330746954354
1056,973706481510
1056,835948276858
1057,111744182756
1057,463327221722
1057,246871164250
1057,674078744905
1057,904247029356
1057,600790696318
1057,694220338790
1060,393021908026
1060,178395234682
1060,149357129898
1060,735417651141
1060,192704827351
1061,236968447723
1061,926856520464
1061,495341031010
1061,499894391317
1061,166529101779
1061,515545111788
1062,345943982214
1062,348411973491
1062,530842260889
1062,188518326067
1062,425238944208
1062,102180159030
1063,625299937928
1063,379367350821
1063,683040493821
1063,801659551125
1064,713914058083
1064,211085919071
1064,949858440346
1064,463691140729
1065,917089275454
1066,133549239924
1067,637943846005
1067,162004470882
1067,928315945355
1067,351699484613
1068,931361955301
1068,646960244841
1068,921681999901
1069,393061840587
1069,573838524169
1069,245101127366
1070,251290687857
1070,895244986805
1070,957619687445
1070,201582281294
1071,236640712266
1071,462373587432
1071,170747061759
1071,382319603257
1071,366474181433
1071,772360953382
1071,766428951395
1071,363153986734
1071,789072444616
1071,945047843075
1072,252422688458
1072,796444007141
1073,681131788761
1073,893740170203
1073,640425110988
1073,728944455377
1073,789393491895
1073,484159997179
1074,739297027538
1074,142905065046
1074,499106268075
1074,321951655702
1074,126785344876
1074,581463817700
1075,619337844833
1075,802401650525
1075,384183831349
1076,850415097872
1076,599011472640
1076,904755059637
1076,692053668525
1078,957578559047
1078,534428633428
1078,885726071402
1078,327906494693
1078,280405612121
1078,336503468530
1078,155693288440
1078,591639837128
1078,732017502823
1079,711996730922
1079,988100956827
1079,351358278046
1079,767928822496
1080,516020998289
1080,217407079123
1080,630635934293
1080,191024055325
1080,135133845799
1080,344823449722
1080,179233158487
1081,608214324468
1081,336804878420
1082,126009964663
1082,151076835193
1082,988425640986
1082,608468294434
1083,395015447551
1083,799538225494
1083,148620361941
1083,428172522913
1083,362788585594
1083,689637489491
1083,212435069658
1084,784876098209
1084,918186291633
1084,588616750781
1084,829152731581
1084,189570339313
1084,195846235590
1085,764979403378
1085,428776418485
1085,961935871442
1085,691691239383
1086,570724167557
1086,505555846520
1086,823017805891
1086,806705818318
1087,131198999780
1087,219100157115
1087,660024296694
1087,796692771460
1087,432722276061
1087,900054994898
1088,786560043295
1088,112316554742
1088,224130828158
1088,134792189358
1089,351683656592
1089,762581238263
1089,725072695098
1089,441359014277
1089,655567598122
1089,619174250257
1089,250849237383
1090,532747884400
1090,532211042298
1090,769476223473
1090,840311244005
1090,633284119487
1090,521832557086
1091,868378430036
1091,772282234115
1091,334786571453
1091,562073314861
1091,918949317180
1091,123730400887
1091,229493782464
1092,502751044084
1092,903483742899
1092,232700293191
1092,626115879836
1092,672764340141
1093,919249443146
